base_pos_m,x0_m,input_force_N
0.002311926605504587,0.001974625700989961,0.4040835990852062
0.002323603002502085,0.0019834071522610635,0.40732046759606333
0.0023352793994995827,0.001992173058248405,0.4105707222001945
0.002346955796497081,0.0020009233867797965,0.41383433343968856
0.0023586321934945787,0.0020096581065915213,0.4171112712003998
0.0023703085904920765,0.002018377186197229,0.42040150429603723
0.0023819849874895747,0.002027080594780291,0.42370500080763995
0.0023936613844870724,0.0020357683016803377,0.4270217278966567
0.00240533778148457,0.0020444402764035986,0.4303516518129825
0.0024170141784820684,0.0020530964890945933,0.433694738081864
0.002428690575479566,0.0020617369096649564,0.43705095117404624
0.002440366972477064,0.002070361508873483,0.4404202549287667
0.002452043369474562,0.0020789702572456825,0.44380261213998773
0.00246371976647206,0.002087563125902737,0.44719798488480733
0.0024753961634695577,0.002096140086199921,0.4506063343886111
0.002487072560467056,0.0021047011094833495,0.454027620932831
0.0024987489574645537,0.0021132461678238586,0.4574618041532536
0.0025104253544620514,0.0021217752330205592,0.46090884264704457
0.0025221017514595497,0.00213028827753356,0.46436869435252326
0.0025337781484570474,0.0021387852739440235,0.46784131633812914
0.002545454545454545,0.0021472661948720596,0.47132666477275337
0.0025571309424520434,0.002155731013599202,0.4748246951869441
0.002568807339449541,0.002164179703160164,0.47833536210487476
0.002580483736447039,0.002172612237150037,0.48185861938259383
0.002592160133444537,0.0021810285893896822,0.485394420076408
0.002603836530442035,0.002189428733593916,0.4889427163078845
0.0026155129274395327,0.002197812644142489,0.4925034595939463
0.002627189324437031,0.002206180295308915,0.4960766005273502
0.0026388657214345287,0.0022145316616107775,0.49966208892930686
0.0026505421184320264,0.0022228667180372226,0.5032598739538343
0.0026622185154295246,0.002231185439365299,0.5068699037988438
0.0026738949124270224,0.0022394878008550802,0.5104921260108896
0.00268557130942452,0.0022477737780184246,0.5141264873922406
0.0026972477064220184,0.0022560433461991155,0.517772933821376
0.002708924103419516,0.0022642964812863912,0.5214314105713572
0.002720600500417014,0.00227253315928967,0.5251018621294279
0.002732276897414512,0.0022807533561204517,0.5287842321037243
0.00274395329441201,0.0022889570482179512,0.532478463507876
0.0027556296914095077,0.002297144212080196,0.5361844985577039
