t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.000112,3.9189917883218815e-10,5.914842519966873e-13,1.9244167847087303e-16,1.3979925817936755e-05,3.01437372944945e-08,1.150268274869109e-11
0.00011399999999999999,4.2061464386888585e-10,6.543772836390104e-13,2.166533746107963e-16,1.4740562395169688e-05,3.27823675120064e-08,1.2728331796368875e-11
0.000116,4.508783178538896e-10,7.227267405440565e-13,2.4342158749095653e-16,1.5528222062259996e-05,3.560183919285857e-08,1.4060526013841539e-11
0.000118,4.827447124238865e-10,7.969033393690957e-13,2.7296659276464267e-16,1.6343370202920357e-05,3.861124125966817e-08,1.5506517492338223e-11
0.00011999999999999999,5.162692695908232e-10,8.772962704174812e-13,3.055235300383915e-16,1.71864718078292e-05,4.181995930161176e-08,1.7073920275599455e-11
0.000122,5.515083609512095e-10,9.643137955865008e-13,3.4134313846932277e-16,1.8057991470005468e-05,4.5237680187723957e-08,1.877072208605367e-11
0.000124,5.885192868861818e-10,1.0583838555341636e-12,3.8069251599533363e-16,1.8958393380190903e-05,4.8874396672515406e-08,2.0605296231438394e-11
0.000126,6.273602757523358e-10,1.159954686049438e-12,4.2385590255871205e-16,1.9888141322239945e-05,5.274041199379429e-08,2.258641369153568e-11
0.000128,6.680904830633488e-10,1.2694954436102794e-12,4.711354876830643e-16,2.084769866851732e-05,5.684634446260739e-08,2.4723255384687593e-11
0.00013,7.10769990662404e-10,1.3874968401135893e-12,5.228522427627783e-16,2.183752837530337e-05,6.120313204522168e-08,2.70254246137536e-11
0.00013199999999999998,7.554598058854334e-10,1.5144717867610736e-12,5.793467784235683e-16,2.2858092978207365e-05,6.582203693701984e-08,2.950295969116807e-11
0.000134,8.022218607151952e-10,1.6509560470847675e-12,6.409802273119508e-16,2.39098545875887e-05,7.071465012825592e-08,3.21663467427521e-11
0.000136,8.511190109262025e-10,1.7975088990958246e-12,7.0813515267081855e-16,2.499327488398621e-05,7.589289596154606e-08,3.502653268993026e-11
0.000138,9.022150352205175e-10,1.954713806539975e-12,7.812164830575638e-16,2.6108815113555613e-05,8.136903668102962e-08,3.8094938409999006e-11
0.00014,9.555746343544295e-10,2.1231790992428714e-12,8.606524735605009e-16,2.725693608351526e-05,8.715567697307625e-08,4.1383472074089654e-11
0.00014199999999999998,1.0112634302560323e-09,2.3035386625283517e-12,9.468956938686165e-16,2.8438098157600176e-05,9.326576849848395e-08,4.4904542662464906e-11
0.000144,1.0693479651337203e-09,2.496452635692489e-12,1.0404240435489516e-15,2.9652761251524572e-05,9.97126144160477e-08,4.867107365678466e-11
0.000146,1.1298957005756136e-09,2.7026081195160955e-12,1.1417417948851838e-15,3.090138482845286e-05,1.0650987389742058e-07,5.2696516908972776e-11
0.000148,1.1929750166399379e-09,2.922719892798143e-12,1.2513806636302431e-15,3.218442789447934e-05,1.136715666331689e-07,5.6994866686312096e-11
0.00015,1.2586552109363718e-09,3.1575311378924354e-12,1.369900908025041e-15,3.350234899411654e-05,1.2121207732993553e-07,6.158067389239259e-11
0.00015199999999999998,1.3270064976983766e-09,3.4078141752296353e-12,1.4978924564346403e-15,3.485560620579243e-05,1.291461601986223e-07,6.646906046353246e-11
0.000154,1.3981000068465338e-09,3.6743712068065955e-12,1.6359760639524297e-15,3.6244657137356446e-05,1.374889434334925e-07,7.16757339402895e-11
0.000156,1.4720077830428997e-09,3.95803506862474e-12,1.7848044983220965e-15,3.7669958921594576e-05,1.4625593368210277e-07,7.721700221367495e-11
0.000158,1.548802784736402e-09,4.259669992059081e-12,1.9450637555264134e-15,3.9131968211753503e-05,1.5546302050599158e-07,8.31097884456796e-11
0.00015999999999999999,1.628558883199292e-09,4.580172374139276e-12,2.1174743053910684e-15,4.063114117707388e-05,1.651264808320045e-07,8.937164616371763e-11
0.00016199999999999998,1.7113508615546742e-09,4.9204715567239105e-12,2.3027923675509782e-15,4.216793349833297e-05,1.7526298339419364e-07,9.60207745285899e-11
