t_s,x0_m,v0_m_per_s
0.000752,3.3187811494780775e-05,0.1444282858979811
0.000754,3.3477410632915134e-05,0.14517087027128828
0.0007559999999999999,3.376849502975896e-05,0.1459135408750472
0.000758,3.4061064837879455e-05,0.1466562778230736
0.0007599999999999999,3.435512017011188e-05,0.14739906126980437
0.000762,3.465066109964193e-05,0.1481418714114799
0.0007639999999999999,3.494768766009054e-05,0.14888468848731967
0.000766,3.5246199845601027e-05,0.14962749278069237
0.000768,3.5546197610928524e-05,0.15037026462027883
0.00077,3.584768087153179e-05,0.15111298438122886
0.000772,3.6150649503667285e-05,0.15185563248631165
0.000774,3.645510334448556e-05,0.15259818940705935
0.000776,3.676104219212992e-05,0.15334063566490444
0.0007779999999999999,3.706846580583734e-05,0.1540829518323098
0.00078,3.737737390604167e-05,0.15482511853389286
0.0007819999999999999,3.768776617447908e-05,0.1555671164475421
0.000784,3.7999642254295645e-05,0.15630892630552748
0.0007859999999999999,3.831300175015731e-05,0.15705052889560342
0.000788,3.862784422836187e-05,0.1577919050621051
0.00079,3.894416921695326e-05,0.15853303570703772
0.000792,3.9261976205838e-05,0.15927390179115863
0.000794,3.9581264646903715e-05,0.1600144843350524
0.0007959999999999999,3.990203395413992e-05,0.16075476442019868
0.000798,4.022428350376084e-05,0.16149472319003308
0.0007999999999999999,4.054801263433038e-05,0.1622343418510004
0.000802,4.087322064688921e-05,0.16297360167360103
0.0008039999999999999,4.119990680508387e-05,0.16371248399342936
0.000806,4.1528070335298064e-05,0.16445097021220548
0.000808,4.185771042678586e-05,0.1651890417987989
0.00081,4.218882623180705e-05,0.1659266802902452
0.000812,4.252141686576448e-05,0.1666638672927547
0.0008139999999999999,4.2855481407343414e-05,0.16740058448271386
0.000816,4.319101889865288e-05,0.16813681360767896
0.0008179999999999999,4.352802834536897e-05,0.168872536487362
0.00082,4.386650871688017e-05,0.16960773501460916
0.0008219999999999999,4.4206458946434564e-05,0.17034239115637112
0.000824,4.4547877931289054e-05,0.1710764869546659
0.0008259999999999999,4.4890764532860386e-05,0.1718100045275337
0.000828,4.5235117576878195e-05,0.17254292606998375
0.00083,4.558093585353988e-05,0.17327523385493374
0.000832,4.592821811766732e-05,0.1740069102341405
0.000834,4.62769630888655e-05,0.1747379376391233
0.0008359999999999999,4.662716945168298e-05,0.1754682985820789
0.000838,4.697883585577407e-05,0.17619797565678863
0.0008399999999999999,4.733196091606302e-05,0.17692695153951712
0.000842,4.768654321290978e-05,0.17765520898990314
0.0008439999999999999,4.804258129227769e-05,0.17838273085184203
0.000846,4.840007366590283e-05,0.17910950005436013
0.000848,4.8759018811465174e-05,0.17983549961248102
0.00085,4.911941517276145e-05,0.18056071262808304
0.000852,4.948126115987967e-05,0.18128512229074895
0.0008539999999999999,4.984455514937542e-05,0.18200871187860704
0.000856,5.0209295484449754e-05,0.18273146475916402
0.0008579999999999999,5.057548047512877e-05,0.18345336439012913
0.00086,5.0943108398444893e-05,0.18417439432023036
0.0008619999999999999,5.131217749861965e-05,0.1848945381900218
0.000864,5.168268598724815e-05,0.18561377973268262
0.0008659999999999999,5.205463204348514e-05,0.18633210277480758
0.000868,5.242801381423262e-05,0.18704949123718895
0.00087,5.2802829414328986e-05,0.18776592913558965
0.0008719999999999999,5.317907692673974e-05,0.18848140058150828
0.000874,5.355675440274975e-05,0.1891958897829353
0.0008759999999999999,5.393585986215696e-05,0.1899093810451001
0.000878,5.431639129346761e-05,0.19062185877121027
0.0008799999999999999,5.469834665409294e-05,0.19133330746318147
0.000882,5.50817238705473e-05,0.19204371172235885
0.0008839999999999999,5.5466520838647744e-05,0.1927530562502298
0.000886,5.585273542371502e-05,0.193461325849128
0.000888,5.624036546077597e-05,0.19416850542292838
0.00089,5.662940875476725e-05,0.19487457997773341
0.000892,5.701986308074053e-05,0.1955795346225509
0.0008939999999999999,5.741172618406893e-05,0.19628335456996251
0.000896,5.780499578065485e-05,0.19698602513678373
0.0008979999999999999,5.819966955713909e-05,0.19768753174471482
0.0009,5.8595745171111235e-05,0.1983878599209828
0.0009019999999999999,5.899322025132139e-05,0.19908699529897503
0.000904,5.939209239789309e-05,0.1997849236188633
0.000906,5.979235918253752e-05,0.20048163072821912
0.000908,6.0194018148768865e-05,0.2011771025826203
0.00091,6.059706681212099e-05,0.20187132524624854
0.0009119999999999999,6.1001502660365196e-05,0.2025642848924778
0.000914,6.140732315372919e-05,0.20325596780445404
0.0009159999999999999,6.181452572511721e-05,0.20394636037566563
0.000918,6.22231077803313e-05,0.20463544911050505
0.0009199999999999999,6.263306669829357e-05,0.20532322062482145
0.000922,6.304439983126979e-05,0.20600966164646425
0.0009239999999999999,6.345710450509387e-05,0.20669475901581763
0.000926,6.387117801939341e-05,0.20737849968632616
0.000928,6.42866176478164e-05,0.20806087072501125
0.0009299999999999999,6.470342063825885e-05,0.2087418593129785
0.000932,6.512158421309349e-05,0.20942145274591634
0.0009339999999999999,6.55411055693994e-05,0.210099638434585
0.000936,6.596198187919266e-05,0.2107764039052973
0.0009379999999999999,6.638421028965786e-05,0.21145173680038956
0.00094,6.680778792338074e-05,0.21212562487868372
0.0009419999999999999,6.723271187858148e-05,0.21279805601594076
0.000944,6.765897922934909e-05,0.21346901820530437
0.000946,6.808658702587662e-05,0.21413849955773634
0.000948,6.85155322946972e-05,0.21480648830244214
0.00095,6.894581203892095e-05,0.21547297278728786
0.0009519999999999999,6.937742323847275e-05,0.21613794147920803
0.000954,6.981036285033067e-05,0.21680138296460424
0.0009559999999999999,7.024462780876544e-05,0.21746328594973485
